iteration,attempt,objective_mode,center_constraint,instance,n,optimum,valid,cost,gap_percent,runtime_s,error,traceback,uses_only_candidates,code_hash,name,family,parent_attempt,selection_strategy,prompt_mode,code_path,full_valid,valid_instances,total_instances,mean_gap_percent,search_gap_ref_mean_pct,search_cost_mean,selection_score,mean_runtime_s,record_error
1,1,tsp,permutation_tour,dsj1000,1000,18659688.0,True,39267405.0,110.43977262642333,0.0234677791595459,,,False,d854c319152c7853,Nearest Neighbor with Local Search (NNLS),nearest_neighbor,,1+1,initial,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_llamea_popmusic_train_20260520_105250/codes/iter_001_d854c319152c7853.py,True,3,3,97.83423249168531,97.83423249168531,13287225.666666666,97.83423249168531,0.02186727523803711,
1,1,tsp,permutation_tour,pr1002,1002,259045.0,True,497172.0,91.92495512362717,0.018510818481445312,,,False,d854c319152c7853,Nearest Neighbor with Local Search (NNLS),nearest_neighbor,,1+1,initial,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_llamea_popmusic_train_20260520_105250/codes/iter_001_d854c319152c7853.py,True,3,3,97.83423249168531,97.83423249168531,13287225.666666666,97.83423249168531,0.02186727523803711,
1,1,tsp,permutation_tour,d1291,1291,50801.0,True,97100.0,91.13796972500542,0.023623228073120117,,,False,d854c319152c7853,Nearest Neighbor with Local Search (NNLS),nearest_neighbor,,1+1,initial,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_llamea_popmusic_train_20260520_105250/codes/iter_001_d854c319152c7853.py,True,3,3,97.83423249168531,97.83423249168531,13287225.666666666,97.83423249168531,0.02186727523803711,
