iteration,attempt,objective_mode,center_constraint,instance,n,optimum,valid,cost,gap_percent,runtime_s,error,traceback,uses_only_candidates,candidate_edge_count,total_edges,candidate_edge_share,code_hash,name,family,parent_attempt,selection_strategy,prompt_mode,code_path,full_valid,valid_instances,total_instances,mean_gap_percent,search_gap_ref_mean_pct,search_cost_mean,selection_score,mean_runtime_s,record_error
37,37,tsp,permutation_tour,dsj1000,1000,18659688.0,True,19602317.0,5.0516868234881525,0.02682018280029297,,,False,988,1000,0.988,8ec65728ad62a63f,TSP Community Detection Heuristic with Prior-Guided Edge Selection and Local Refinement,candidate_prior_constructive,16,1+1,mutate_parent,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_llamea_popmusic_train_20260522_215145/codes/iter_037_8ec65728ad62a63f.py,True,3,3,7.3497945730728516,7.3497945730728516,6640266.0,7.3497945730728516,0.02763708432515462,
37,37,tsp,permutation_tour,pr1002,1002,259045.0,True,259045.0,0.0,0.024367809295654297,,,True,1002,1002,1.0,8ec65728ad62a63f,TSP Community Detection Heuristic with Prior-Guided Edge Selection and Local Refinement,candidate_prior_constructive,16,1+1,mutate_parent,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_llamea_popmusic_train_20260522_215145/codes/iter_037_8ec65728ad62a63f.py,True,3,3,7.3497945730728516,7.3497945730728516,6640266.0,7.3497945730728516,0.02763708432515462,
37,37,tsp,permutation_tour,d1291,1291,50801.0,True,59436.0,16.9976968957304,0.0317232608795166,,,False,1283,1291,0.9938032532920217,8ec65728ad62a63f,TSP Community Detection Heuristic with Prior-Guided Edge Selection and Local Refinement,candidate_prior_constructive,16,1+1,mutate_parent,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_llamea_popmusic_train_20260522_215145/codes/iter_037_8ec65728ad62a63f.py,True,3,3,7.3497945730728516,7.3497945730728516,6640266.0,7.3497945730728516,0.02763708432515462,
