iteration,attempt,objective_mode,center_constraint,instance,n,optimum,valid,cost,gap_percent,runtime_s,error,traceback,uses_only_candidates,candidate_edge_count,total_edges,candidate_edge_share,code_hash,name,family,parent_attempt,selection_strategy,prompt_mode,code_path,family_focus_active,focus_family_id,focus_family_name,focus_family_step,focus_family_index,focus_family_total,full_valid,valid_instances,total_instances,mean_gap_percent,search_gap_ref_mean_pct,search_cost_mean,selection_score,mean_runtime_s,record_error
37,37,tsp,permutation_tour,dsj1000,1000,18659688.0,True,20935790.0,12.197963867348694,5.581719636917114,,,,,,,8dd1626be4d6661f,VoronoiRegionDecompositionHeuristic_Enhanced_v6,nearest_neighbor_2opt,32,1+1,mutate_parent,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_llamea_popmusic_train_20260524_100159/codes/iter_037_8dd1626be4d6661f.py,True,voronoi_regions,Voronoi / region decomposition,17,1,9,True,3,3,13.674789413126533,13.674789413126533,7094755.0,13.674789413126533,7.921805381774902,
37,37,tsp,permutation_tour,pr1002,1002,259045.0,True,288881.0,11.517689976644984,7.409130573272705,,,,,,,8dd1626be4d6661f,VoronoiRegionDecompositionHeuristic_Enhanced_v6,nearest_neighbor_2opt,32,1+1,mutate_parent,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_llamea_popmusic_train_20260524_100159/codes/iter_037_8dd1626be4d6661f.py,True,voronoi_regions,Voronoi / region decomposition,17,1,9,True,3,3,13.674789413126533,13.674789413126533,7094755.0,13.674789413126533,7.921805381774902,
37,37,tsp,permutation_tour,d1291,1291,50801.0,True,59594.0,17.308714395385916,10.774565935134888,,,,,,,8dd1626be4d6661f,VoronoiRegionDecompositionHeuristic_Enhanced_v6,nearest_neighbor_2opt,32,1+1,mutate_parent,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_llamea_popmusic_train_20260524_100159/codes/iter_037_8dd1626be4d6661f.py,True,voronoi_regions,Voronoi / region decomposition,17,1,9,True,3,3,13.674789413126533,13.674789413126533,7094755.0,13.674789413126533,7.921805381774902,
