iteration,attempt,objective_mode,center_constraint,instance,n,optimum,valid,cost,gap_percent,runtime_s,error,traceback,uses_only_candidates,candidate_edge_count,total_edges,candidate_edge_share,code_hash,name,family,parent_attempt,selection_strategy,prompt_mode,code_path,full_valid,valid_instances,total_instances,mean_gap_percent,search_gap_ref_mean_pct,search_cost_mean,selection_score,mean_runtime_s,record_error
19,19,tsp,permutation_tour,dsj1000,1000,18659688.0,True,21166240.0,13.432979158065237,8.408567190170288,,,True,1000,1000,1.0,68ac806e60a651a3,TSP Heuristic using a Hierarchical Clustering-based Approach with Enhanced Candidate Selection and Limited 2-opt Improve,candidate_prior_2opt,11,1+1,mutate_parent,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_llamea_popmusic_train_20260522_124447/codes/iter_019_68ac806e60a651a3.py,True,3,3,11.294998076586657,11.294998076586657,7169470.0,11.294998076586657,7.741698106129964,
19,19,tsp,permutation_tour,pr1002,1002,259045.0,True,286330.0,10.532918990908916,5.503712892532349,,,True,1002,1002,1.0,68ac806e60a651a3,TSP Heuristic using a Hierarchical Clustering-based Approach with Enhanced Candidate Selection and Limited 2-opt Improve,candidate_prior_2opt,11,1+1,mutate_parent,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_llamea_popmusic_train_20260522_124447/codes/iter_019_68ac806e60a651a3.py,True,3,3,11.294998076586657,11.294998076586657,7169470.0,11.294998076586657,7.741698106129964,
19,19,tsp,permutation_tour,d1291,1291,50801.0,True,55840.0,9.919096080785812,9.312814235687256,,,True,1291,1291,1.0,68ac806e60a651a3,TSP Heuristic using a Hierarchical Clustering-based Approach with Enhanced Candidate Selection and Limited 2-opt Improve,candidate_prior_2opt,11,1+1,mutate_parent,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_llamea_popmusic_train_20260522_124447/codes/iter_019_68ac806e60a651a3.py,True,3,3,11.294998076586657,11.294998076586657,7169470.0,11.294998076586657,7.741698106129964,
